_id,PROVINCIE,BEVOEGD GEZAG NUMMER,INSTELLINGSCODE,VESTIGINGSCODE,VESTIGINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,STRAATNAAM CORRESPONDENTIEADRES,HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES,POSTCODE CORRESPONDENTIEADRES,PLAATSNAAM CORRESPONDENTIEADRES,NODAAL GEBIED CODE,NODAAL GEBIED NAAM,RPA-GEBIED CODE,RPA-GEBIED NAAM,WGR-GEBIED CODE,WGR-GEBIED NAAM,COROPGEBIED CODE,COROPGEBIED NAAM,ONDERWIJSGEBIED CODE,ONDERWIJSGEBIED NAAM,RMC-REGIO CODE,RMC-REGIO NAAM,VAKANTIEREGIO
793,Gelderland,25351,09WH,09WH00,Basisschool Kardinaal Alfrink,Koordsteeg,11,7161WP,NEEDE,1859,BERKELLAND,Rooms-Katholiek,0545292686,www.alfrinkneede.nl,Koordsteeg,11,7161WP,NEEDE,22,Enschede,12,Achterhoek,13,Oost-Gelderland,14,Achterhoek,06,Twente,13,Achterhoek,Midden
794,Gelderland,27237,06FR,06FR00,Speulderbrink School met de Bijbel,Garderenseweg,205,3852NH,ERMELO,0233,ERMELO,Reformatorisch,0577407219,,Garderenseweg,205,3852NH,ERMELO,28,Harderwijk,08,Noordwest-Veluwe,17,Noordwest-Veluwe,13,Veluwe,10,Harderwijk-Amersfoort,17,Noordwest-Veluwe,Midden
795,Gelderland,28212,03JS,03JS00,Vrije school De Zonnewende,Valckstraat,30,7203GC,ZUTPHEN,0301,ZUTPHEN,Antroposofisch,0575516380,www.vrijeschooldezonnewende.nl,Valckstraat,30,7203GC,ZUTPHEN,23,Zutphen,09,Stedendriehoek,11,Stedendriehoek,14,Achterhoek,07,Apeldoorn en midden-IJsselgebied,11,Stedendriehoek,Midden
796,Gelderland,28212,06GE,06GE00,Vrije School De Berkel,Henri Dunantweg,4,7201EV,ZUTPHEN,0301,ZUTPHEN,Antroposofisch,0575524011,www.vrijeschooldeberkel.nl,Henri Dunantweg,4,7201EV,ZUTPHEN,23,Zutphen,09,Stedendriehoek,11,Stedendriehoek,14,Achterhoek,07,Apeldoorn en midden-IJsselgebied,11,Stedendriehoek,Midden
797,Gelderland,29810,07CA,07CA00,Montessorischool Dukenburg,Malvert,7373,6538DJ,NIJMEGEN,0268,NIJMEGEN,Algemeen bijzonder,0243449520,,Postbus,38013,6503AA,NIJMEGEN,30,Nijmegen,13,Nijmegen,14,Arnhem/Nijmegen,15,Arnhem/Nijmegen,11,Oostelijk Maas-Waalgebied,40,Rijk van Nijmegen,Zuid
798,Gelderland,29810,07DB,07DB00,Basisschool Aquamarijn,Biezendwarsstraat,31-A,6541ZE,NIJMEGEN,0268,NIJMEGEN,Rooms-Katholiek,0243733464,https://www.aquamarijn-bs.nl/,Postbus,40008,6504AA,NIJMEGEN,30,Nijmegen,13,Nijmegen,14,Arnhem/Nijmegen,15,Arnhem/Nijmegen,11,Oostelijk Maas-Waalgebied,40,Rijk van Nijmegen,Zuid
799,Gelderland,29810,07DB,07DB02,De Meiboom,Meijhorst,2958,6537HD,NIJMEGEN,0268,NIJMEGEN,Rooms-Katholiek,0243443138,https://www.demeiboom.nl/,Meijhorst,2958,6537HD,NIJMEGEN,30,Nijmegen,13,Nijmegen,14,Arnhem/Nijmegen,15,Arnhem/Nijmegen,11,Oostelijk Maas-Waalgebied,40,Rijk van Nijmegen,Zuid
800,Gelderland,29810,08AE,08AE00,Basisschool De Spil,Weezenhof,4002,6536DB,NIJMEGEN,0268,NIJMEGEN,Protestants-Christelijk,0243441854,www.prinsclausschool.nl,Weezenhof,4002,6536DB,NIJMEGEN,30,Nijmegen,13,Nijmegen,14,Arnhem/Nijmegen,15,Arnhem/Nijmegen,11,Oostelijk Maas-Waalgebied,40,Rijk van Nijmegen,Zuid
801,Gelderland,29810,08CO,08CO00,Nutsschool Lankforst,Lankforst,2348,6538GN,NIJMEGEN,0268,NIJMEGEN,Openbaar,0623482301,nutsschool.nu,Lankforst,2348,6538GN,NIJMEGEN,30,Nijmegen,13,Nijmegen,14,Arnhem/Nijmegen,15,Arnhem/Nijmegen,11,Oostelijk Maas-Waalgebied,40,Rijk van Nijmegen,Zuid
802,Gelderland,29810,09TG,09TG00,Basisschool De Luithorst,De Gildekamp,6010,6545LX,NIJMEGEN,0268,NIJMEGEN,Rooms-Katholiek,0243734188,,De Gildekamp,6010,6545LX,NIJMEGEN,30,Nijmegen,13,Nijmegen,14,Arnhem/Nijmegen,15,Arnhem/Nijmegen,11,Oostelijk Maas-Waalgebied,40,Rijk van Nijmegen,Zuid
803,Gelderland,29810,09YW,09YW00,PC Basissch Pr Maurits,Zwanenveld,2524,6538NK,NIJMEGEN,0268,NIJMEGEN,Protestants-Christelijk,0243442331,www.prins-mauritsschool.nl,Postbus,38127,6503AC,NIJMEGEN,30,Nijmegen,13,Nijmegen,14,Arnhem/Nijmegen,15,Arnhem/Nijmegen,11,Oostelijk Maas-Waalgebied,40,Rijk van Nijmegen,Zuid
804,Gelderland,29810,10CV,10CV00,Basisschool Michiel de Ruyter,Tweede Oude Heselaan,384,6542VJ,NIJMEGEN,0268,NIJMEGEN,Openbaar,0243770155,www.mderuyter.nl,Postbus,367,6500AJ,NIJMEGEN,30,Nijmegen,13,Nijmegen,14,Arnhem/Nijmegen,15,Arnhem/Nijmegen,11,Oostelijk Maas-Waalgebied,40,Rijk van Nijmegen,Zuid
805,Gelderland,29810,10MR,10MR00,De Lindenhoeve,Zellersacker,1104,6546HC,NIJMEGEN,0268,NIJMEGEN,Rooms-Katholiek,0243734509,https://www.de-lindenhoeve.nl/,Zellersacker,1104,6546HC,NIJMEGEN,30,Nijmegen,13,Nijmegen,14,Arnhem/Nijmegen,15,Arnhem/Nijmegen,11,Oostelijk Maas-Waalgebied,40,Rijk van Nijmegen,Zuid
806,Gelderland,29810,11CC,11CC00,Basissch de Zonnewende,Berberisstraat,4,6543RN,NIJMEGEN,0268,NIJMEGEN,Rooms-Katholiek,0243734132,,Postbus,40170,6504AD,NIJMEGEN,30,Nijmegen,13,Nijmegen,14,Arnhem/Nijmegen,15,Arnhem/Nijmegen,11,Oostelijk Maas-Waalgebied,40,Rijk van Nijmegen,Zuid
807,Gelderland,29810,11IP,11IP00,De Dukendonck,Tolhuis,4355,6537PR,NIJMEGEN,0268,NIJMEGEN,Openbaar,0243443613,https://www.dukendonck.nl,Tolhuis,4355,6537PR,NIJMEGEN,30,Nijmegen,13,Nijmegen,14,Arnhem/Nijmegen,15,Arnhem/Nijmegen,11,Oostelijk Maas-Waalgebied,40,Rijk van Nijmegen,Zuid
808,Gelderland,29810,11IP,11IP01,Openbare Basisschool de Bloemberg,Zellersacker,1103,6546HB,NIJMEGEN,0268,NIJMEGEN,Overige,0263649949,https://www.de-bloemberg.nl/,Zellersacker,1103,6546HB,NIJMEGEN,30,Nijmegen,13,Nijmegen,14,Arnhem/Nijmegen,15,Arnhem/Nijmegen,11,Oostelijk Maas-Waalgebied,40,Rijk van Nijmegen,Zuid
